feature,importance_split,importance_gain
synth_noise_beta_7,8,3094.6279907226562
random_normal_5,6,3065.574005126953
synth_noise_normal_2,8,3034.3189392089844
random_normal_26,6,2995.042022705078
synth_int_n_lines_x_inquiries,4,2983.7550354003906
random_normal_19,5,2915.6560668945312
synth_noise_normal_6,6,2896.7509765625
random_int_31,5,2893.2260131835938
random_int_14,7,2887.1279907226562
random_int_25,4,2845.7440185546875
random_int_32,6,2784.644012451172
synth_balance_to_income_ratio,6,2767.9830017089844
random_normal_29,7,2759.0360412597656
synth_installment_balance,5,2756.707000732422
random_normal_8,2,2720.9700927734375
random_int_20,6,2679.414031982422
synth_bureau_score_v8,5,2666.9519653320312
synth_newest_account_months,6,2609.1229858398438
synth_int_lim_x_util,5,2608.5540466308594
random_normal_13,6,2600.080047607422
random_normal_14,5,2547.4610900878906
random_int_26,4,2546.6950073242188
random_uniform_31,4,2540.563995361328
synth_max_days_late,6,2510.6669921875
synth_noise_beta_3,6,2494.0029907226562
random_normal_11,6,2465.6110229492188
synth_avg_balance_6m,6,2407.4869689941406
synth_noise_normal_5,4,2391.498016357422
random_normal_34,6,2389.7039794921875
random_normal_10,5,2387.509033203125
random_int_24,5,2283.4099731445312
random_normal_15,5,2277.4249877929688
random_int_19,4,2225.177947998047
random_int_10,6,2221.8819580078125
synth_n_student_lines,6,2188.8610229492188
synth_util_revolving_3m,6,2184.8590087890625
synth_int_lines_x_score,5,2183.032989501953
synth_n_late_90,5,2138.1829833984375
mean_age_by_marital_status,1,2128.530029296875
synth_noise_beta_2,3,2050.3619995117188
random_uniform_25,5,2050.167999267578
synth_net_income_v1,3,2038.7970275878906
synth_revolving_limit,4,1951.2729797363281
random_int_30,5,1913.8130187988281
synth_int_score_x_util,4,1885.0659790039062
synth_n_lines_x_util,5,1876.8319702148438
random_uniform_9,5,1872.14404296875
synth_noise_uniform_1,3,1854.9680786132812
synth_avail_to_income,3,1847.7740478515625
random_int_6,5,1816.5
synth_max_util,4,1809.8569946289062
random_int_17,4,1801.8000183105469
synth_n_auto_lines,4,1799.5649719238281
random_uniform_5,4,1783.93798828125
random_uniform_7,3,1751.3909912109375
synth_avg_util,4,1738.4769897460938
synth_noise_poisson_5,4,1736.7140197753906
synth_total_balance,3,1700.1939392089844
random_int_22,4,1690.1040344238281
synth_avg_account_age,4,1659.1490173339844
random_int_28,4,1657.2349853515625
synth_total_limit,4,1651.406005859375
synth_revolving_avail,4,1612.5799865722656
synth_noise_beta_10,3,1602.239990234375
synth_n_closed_lines,4,1597.760986328125
synth_revolving_to_total_ratio,3,1594.2210083007812
random_int_23,1,1593.6800537109375
synth_hard_pulls_12m,2,1576.2150268554688
synth_int_pmt_hist_x_util,4,1569.6300048828125
mean_income_by_job_code,3,1549.5549926757812
random_int_12,4,1541.7099609375
synth_int_derog_x_score,3,1524.7170104980469
synth_noise_uniform_10,4,1484.3099670410156
synth_avg_account_age_months,3,1474.31103515625
synth_int_oldest_x_score,4,1466.6539916992188
synth_bureau_score_v6,4,1459.9819946289062
app_income,2,1458.3409729003906
synth_lim_to_income,2,1444.2179565429688
synth_total_debt,3,1427.9579772949219
random_int_11,3,1411.7940368652344
synth_util_to_limit,4,1404.7440185546875
synth_noise_normal_1,3,1385.791015625
synth_credit_history_years,3,1368.9879760742188
synth_card_limit,2,1338.0380249023438
random_normal_4,3,1334.72900390625
synth_noise_poisson_8,1,1312.1300048828125
random_uniform_23,3,1284.0169677734375
random_normal_7,3,1281.8139953613281
synth_derogatory_marks,3,1201.7869873046875
synth_noise_uniform_3,2,1169.4749755859375
mean_income_by_branch,1,1153.1800537109375
synth_avg_limit,3,1122.6099853515625
random_int_15,2,1098.1729736328125
synth_n_credit_lines,1,1077.1300048828125
random_uniform_13,2,1068.5500183105469
synth_inquiries_24m,2,902.4049987792969
synth_noise_normal_10,2,891.8370056152344
synth_seg_app_nom_branch_top3,1,890.0479736328125
synth_int_age_x_score,2,872.5159912109375
synth_n_lines_total,2,858.02099609375
synth_util_overall_6m,1,855.9520263671875
synth_student_loan_balance,2,844.8000183105469
synth_disputes_24m,1,832.5650024414062
random_int_3,2,814.6600036621094
synth_revolving_util_ratio,2,803.3380126953125
random_uniform_17,2,801.5419921875
synth_n_active_lines,2,776.5420227050781
synth_secured_limit,2,758.7250061035156
synth_other_balance,2,754.5849914550781
app_income_decile_6,1,744.4929809570312
synth_soft_pulls_3m,2,740.8559875488281
synth_int_inquiries_x_age,2,739.072021484375
synth_verified_income,1,682.1129760742188
app_spendings_decile_9,1,660.3250122070312
random_normal_32,1,599.0260009765625
synth_int_balance_x_score,1,591.0139770507812
synth_seg_app_nom_marital_status_top1,1,574.7860107421875
app_spendings_quartile_2,1,570.9459838867188
synth_income_stability_score,1,569.0919799804688
synth_noise_poisson_4,1,551.06201171875
synth_n_installment_lines,1,517.3989868164062
act_age_decile_4,1,504.9949951171875
synth_soft_pulls_12m,1,485.95599365234375
synth_hard_pulls_6m,1,461.3330078125
