pd_source,n,base_rate,mean_predicted,AUC,Gini,KS,Brier,ECE,mean_pred_to_obs_ratio
LightGBM Platt (PRIMARY),64027,0.01916379027597732,0.009385877722305393,0.9022152056437169,0.8044304112874339,0.6461119892648944,0.017209178996373725,0.009801376302123268,0.4897714693773818
LR full-F6E Platt,64027,0.01916379027597732,0.020701504930552346,0.864038629249529,0.728077258499058,0.5594516816428656,0.01670537946820077,0.0026065867759693375,1.0802406325904443
LR no-F6E Platt,64027,0.01916379027597732,0.0207552452105426,0.839984524161774,0.6799690483235481,0.5457907796448279,0.017031482105952806,0.0029382160255124958,1.0830448941282893
Scorecard no-F6E Platt,64027,0.01916379027597732,0.009179379641800146,0.8030374950036078,0.6060749900072155,0.48131066398808137,0.01793898907697571,0.009984410634177177,0.47899603938511653
Stressed Gini 0.60,64027,0.01916379027597732,0.019163790275913462,0.8014790488945644,0.6029580977891289,0.46903626731866344,0.02039096848463756,0.014285805523951011,0.9999999999966678
Stressed Gini 0.45,64027,0.01916379027597732,0.019163790276082556,0.7227930221813859,0.4455860443627717,0.32828649702292895,0.02418366368700173,0.023808818434191817,1.0000000000054914
Stressed Gini 0.30,64027,0.01916379027597732,0.021767120268900222,0.6513386762285935,0.3026773524571871,0.22880915858159556,0.028679082336504805,0.031239860106254343,1.1358462994758554
