pd_multiplier,apr_strategy,cost_of_funds_annual,acquisition_cost,lgd,k_star_approve_pct,cutoff_pd_star,max_total_profit_at_k_star,youden_approve_pct_full,cutoff_gap_profit_minus_youden,category
1.0,tiered_uncapped,0.0,0,0.55,100.0,0.19155113956429146,354601464.43938994,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.0,0,0.65,100.0,0.19155113956429146,352316108.8192604,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.0,0,0.75,100.0,0.19155113956429146,350030753.19912916,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.0,0,0.85,100.0,0.19155113956429146,347745397.5790075,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.0,250,0.55,100.0,0.19155113956429146,295609464.43938375,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.0,250,0.65,100.0,0.19155113956429146,293324108.8192585,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.0,250,0.75,100.0,0.19155113956429146,291038753.1991269,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.0,250,0.85,100.0,0.19155113956429146,288753397.5790015,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.0,500,0.55,100.0,0.19155113956429146,236617464.43937892,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.0,500,0.65,100.0,0.19155113956429146,234332108.81925642,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.0,500,0.75,100.0,0.19155113956429146,232046753.19913197,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.0,500,0.85,100.0,0.19155113956429146,229761397.57900277,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.03,0,0.55,100.0,0.19155113956429146,284038145.6709276,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.03,0,0.65,100.0,0.19155113956429146,281752790.0508022,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.03,0,0.75,100.0,0.19155113956429146,279467434.4306808,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.03,0,0.85,100.0,0.19155113956429146,277182078.8105506,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.03,250,0.55,100.0,0.19155113956429146,225046145.6709277,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.03,250,0.65,100.0,0.19155113956429146,222760790.05080172,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.03,250,0.75,100.0,0.19155113956429146,220475434.4306815,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.03,250,0.85,100.0,0.19155113956429146,218190078.81054842,79.40568212639002,20.59431787360998,approve_all
1.0,tiered_uncapped,0.03,500,0.55,100.0,0.19155113956429146,166054145.67093062,79.40568212639002,20.59431787360998,approve_all
