tenor,n_rows,mean_LT_profit,mean_ASB_profit,mean_ASB_minus_LT,median_ASB_pct_bias,ASB_total_profit,LT_total_profit,ASB_LT_total_ratio
24m,135115,965.2453114013808,873.9911339083843,-91.25417749299658,-0.0760611850283848,118089312.05803135,130419120.24999757,0.9054601183604714
36m,100853,2200.202161257077,1317.7067201353138,-882.495441121763,-0.3868732514126997,132894675.8458068,221896988.56925997,0.5989025660180459
24m+36m,235968,1493.0673176839973,1063.6356959580883,-429.43162172590945,-0.10864371661322028,250983987.90383816,352316108.8192575,0.7123829470783467
